entry_time,status,trade_type,option_type,moneyness,strike,entry_price,sl_price,tgt_price,exit_price,exit_time,pnl,Cumulative PNL,Drawdown,Streak,Winning Streak,Losing Streak
2019-01-01 11:02:00,SL-HIT,LONG,CE,ATM,BANKNIFTY03JAN1927200CE.NFO,114.0,102.6,125.4,102.6,2019-01-01 12:30:00,-11.4,-11.4,0.0,1,0.0,1.0
2019-01-01 14:27:00,TGT-HIT,LONG,CE,ATM,BANKNIFTY03JAN1927200CE.NFO,105.0,94.5,115.5,115.5,2019-01-01 14:28:00,10.5,-0.9000000000000004,0.0,2,1.0,0.0
2019-01-02 12:42:00,TGT-HIT,LONG,PE,ATM,BANKNIFTY03JAN1927300PE.NFO,146.6,131.94,161.26,161.26,2019-01-02 12:44:00,14.66,13.76,0.0,2,2.0,0.0
2019-01-04 14:23:00,TGT-HIT,LONG,CE,ATM,BANKNIFTY10JAN1927300CE.NFO,146.0,131.4,160.6,160.6,2019-01-04 14:38:00,14.6,28.36,0.0,2,3.0,0.0
2019-01-07 09:21:00,SL-HIT,LONG,CE,ATM,BANKNIFTY10JAN1927500CE.NFO,142.85,128.56,157.14,128.56,2019-01-07 09:24:00,-14.29,14.07,-14.29,3,0.0,1.0
2019-01-07 09:37:00,SL-HIT,LONG,CE,ATM,BANKNIFTY10JAN1927500CE.NFO,136.95,123.26,150.65,123.26,2019-01-07 09:50:00,-13.69,0.3800000000000008,-27.979999999999997,3,0.0,2.0
2019-01-07 10:55:00,TGT-HIT,LONG,PE,ATM,BANKNIFTY10JAN1927500PE.NFO,210.35,189.32,231.39,231.39,2019-01-07 11:42:00,21.04,21.42,-6.939999999999998,4,1.0,0.0
2019-01-07 12:36:00,SL-HIT,LONG,CE,ATM,BANKNIFTY10JAN1927500CE.NFO,138.6,124.74,152.46,124.74,2019-01-07 13:32:00,-13.86,7.560000000000002,-20.799999999999997,5,0.0,1.0
2019-01-07 14:11:00,SL-HIT,LONG,CE,ATM,BANKNIFTY10JAN1927500CE.NFO,131.7,118.53,144.87,118.53,2019-01-07 14:24:00,-13.17,-5.609999999999998,-33.97,5,0.0,2.0
2019-01-08 13:05:00,SL-HIT,LONG,CE,ATM,BANKNIFTY10JAN1927500CE.NFO,81.6,73.44,89.76,73.44,2019-01-08 13:12:00,-8.16,-13.769999999999998,-42.129999999999995,5,0.0,3.0
2019-01-09 14:15:00,SL-HIT,LONG,PE,ATM,BANKNIFTY10JAN1927500PE.NFO,131.35,118.22,144.49,118.22,2019-01-09 14:19:00,-13.13,-26.9,-55.26,5,0.0,4.0
